perms,i=0,i=1,i=2,i=3,i=4,i=5,i=6,i=7,i=8,i=9,i=10,i=11,i=12,i=13,i=14,i=15,i=16,i=17,i=18,i=19,i=20,i=21,i=22,i=23,i=24,i=25,i=26,i=27,i=28,i=29,i=30,i=31,i=32,i=33,i=34,i=35,i=36,i=37,i=38,i=39,i=40,i=41,i=42,i=43,i=44,i=45,i=46,i=47,i=48,i=49,i=50
"[5,2,1,1]",0,0,0,0,0,3,61,556,3205,13659,46975,137621,355994,833787,1801058,3638250,6946482,12639909,22064829,37150245,60594302,96092060,148611306,224722388,332987337,484415626,692995586,976308471,1356230979,1859735696,2519801249,3376439832,4477847912,5881692255,7656546217,9883484110,12657839114,16091139912,20313244706,25474680104,31749189340,39336508717,48465395207,59396911727,72427972960,87895174931,106178936297,127707956112,152963988637,182486963602,216880485485
"[5,1,1,1,1]",0,0,0,0,0,2,25,200,1135,4882,16963,50025,129953,305401,661452,1338598,2558974,4660987,8143050,13718727,22386318,35514149,54941949,83101566,123162264,179201582,256400322,361267281,501902064,688294821,932659907,1249812495,1657598917,2177377909,2834547577,3659129495,4686426047,5957745766,7521185581,9432487523,11755992713,14565680429,17946277382,21994462293,26820192797,32548138143,39319197479,47292133632,56645359799,67578856258,80316185290
"[4,4,1]",0,0,0,0,0,2,34,272,1497,6289,21438,62332,160356,374267,806604,1626620,3101627,5638457,9836175,16552296,26986169,42781183,66146435,100002185,148154072,215497022,308249965,434226930,603150999,827012767,1120472500,1501313100,1990955035,2615032378,3404026374,4393969177,5627230894,7153385704,9030154001,11324435311,14113447872,17485971193,21543683069,26402608992,32194709156,39069592693,47196344497,56765493504,67991150512,81113297769,96400216312
"[4,3,2]",0,0,0,0,0,3,53,488,2839,12142,41827,122594,317050,742338,1603115,3237658,6180399,11244170,19625976,33040705,53886912,85449495,132144871,199813682,296066767,430691136,616121922,867987130,1205732970,1653336444,2240113247,3001630093,3980728631,5228669951,6806410313,8786016138,11252227980,14304185182,18057320368,22645434759,28222966829,34967463865,43082269025,52799438028,64382895040,78131841097,94384431238,113521730876,135971965060,162215077737,192787612971
"[4,3,1,1]",0,0,0,0,0,3,63,596,3529,15278,52989,155947,404446,948825,2051844,4148002,7923866,14423871,25186381,42415359,69193572,109743472,169742148,256697480,380393262,553411129,791737278,1115462847,1549587638,2124936732,2879199481,3858101512,5116721413,6720963306,8749196248,11294072922,14464541275,18388061950,23213043924,29111512587,36282025957,44952853564,55385431765,67878111539,82770216588,100446427875,121341509709,145945395281,174808651576,208548341422,247854299107
"[4,2,2,1]",0,0,0,0,0,1,51,549,3368,14824,51945,153879,400724,942541,2041757,4132528,7901022,14391106,25140451,42352377,69108975,109631733,169596599,256510433,380155989,553113450,791367283,1115007114,1549031282,2124262827,2878388675,3857132384,5115570581,6719604639,8747600366,11292207718,14462372095,18385550600,23210148039,29108186327,36278220291,44948515018,55380501624,67872526776,82763910261,100439327593,121333536684,145936465495,174798676290,208537225344,247841939255
"[4,2,1,1,1]",0,0,0,0,0,1,39,443,2808,12557,44417,132452,346497,817415,1774275,3596465,6883755,12548512,21935061,36970375,60350139,95766311,148183364,224168332,332279349,483521106,691876941,974923211,1354530941,1857665889,2517299680,3373437700,4474268635,5877450033,7651545885,9877621481,12650999793,16083197516,20304060785,25464104667,31737059417,39322646225,48449606965,59378990174,72407694456,87872297247,106153198717,127679080388,152931677022,182450895911,216840319324
"[4,1,1,1,1,1]",0,0,0,0,0,0,10,118,764,3506,12641,38152,100585,238530,519612,1055942,2024867,3696305,6468109,10910612,17821837,28295052,43800377,66282510,98276162,143040948,204718784,288515948,400911134,549892697,745228350,998769247,1324791206,1740376161,2265837054,2925190038,3746676108,4763334834,6013636098,7542173060,9400417475,11647542917,14351321340,17589095271,21448829648,26030247833,31446056607,37823266101,45304606811,54050047124,64238420888
"[3,3,3]",0,0,0,0,0,0,11,111,671,2938,10223,30175,78474,184287,398600,806068,1540332,2804244,4896778,8246793,13454038,21339211,33005665,49913883,73967192,107611094,153952964,216900923,301317320,413194202,559858805,750204301,994942286,1306885333,1701269433,2196113378,2812605043,3575524657,4513725740,5660662936,7054949069,8740964209,10769538967,13198692516,16094410081,19531484174,23594445604,28378567546,33990913551,40551458198,48194326693
"[3,3,2,1]",0,0,0,0,0,1,34,389,2492,11218,39764,118490,309564,729598,1582579,3205949,6133148,11175855,19529750,32908170,53707862,85211750,131834094,199413014,295556508,430048589,615321112,866998369,1204522503,1651866220,2238340647,2999507425,3978202610,5225681500,6802894304,8781900692,11247433894,14298625798,18050901211,22638052741,28214509639,34957809750,43071286451,52786984819,64368817558,78115974103,94366597619,113501740517,135949613958,162190147970,192759872292
"[3,3,1,1,1]",0,0,0,0,0,0,21,251,1659,7686,27692,83165,218260,516125,1122276,2277183,4361156,7953733,13908753,23448718,38284151,60759899,94028614,142257989,210880067,306883332,439147242,618828443,859810401,1179216623,1597983690,2141507058,2840378265,3731209420,4857536476,6270822335,8031583445,10210629996,12890408750,16166475220,20149125570,24965175307,30759864672,37698925302,45970852342,55789357939,67395975552,81062865960,97095877621,115837824563,137671946129
"[3,2,2,2]",0,0,0,0,0,0,12,164,1134,5313,19224,57938,152412,360792,784900,1593221,3052088,5567051,9735765,16414283,26800208,42534761,65824709,99587986,147627510,214834863,307425500,433210034,601907592,825504062,1118654882,1499138233,1988369218,2611975574,3400432086,4389764687,5622336475,7147713408,9023607620,11316910728,14104832063,17476140815,21532504467,26389938642,32180392555,39053462690,47178221326,56745185439,67968452551,81087989625,96372062587
"[3,2,2,1,1]",0,0,0,0,0,0,18,289,2096,9979,36414,110384,291469,691504,1506423,3060943,5868614,10710742,18738747,31603533,51614816,81935837,126820388,191896213,284497626,414055142,592552178,835052674,1160301600,1591409378,2156634054,2890264092,3833602088,5036064434,6556415620,8464138007,10840934626,13782385299,17399780522,21822130774,27198345024,33699605077,41521967352,50889185157,62055740056,75310116998,90978363092,109427917010,131071691145,156372450612,185847538984
"[3,2,1,1,1,1]",0,0,0,0,0,0,7,155,1232,6108,22773,69844,185669,442473,966954,1969015,3780837,6908322,12097137,20416191,33361238,52981631,82033546,124162653,184120354,268017894,383621110,540690393,751371860,1030643152,1396817916,1872115508,2483301299,3262402622,4247505699,5483638964,7023751085,8929790243,11273887183,14139650676,17623586814,21836645265,26905897045,32976355858,40212952050,48802664762,58956818575,70913553566,84940483009,101337546275,120440056784
"[3,1,1,1,1,1,1]",0,0,0,0,0,0,0,28,281,1491,5725,17909,48228,115752,254033,518990,999094,1828786,3206437,5417002,8859192,14078655,21809424,33023616,48988198,71331310,102122271,143964042,200095512,274508300,372083809,498747556,661637017,869289458,1131857832,1461350449,1871887485,2379983546,3004868786,3768840456,4697634290,5820830160,7172307719,8790739493,10720108176,13010266430,15717559445,18905494410,22645437307,27017360787,32110671452
"[2,2,2,2,1]",0,0,0,0,0,0,2,52,451,2347,8947,27675,73840,176391,386088,786841,1511489,2762571,4838502,8166760,13345622,21195139,32818115,49672706,73659346,107223128,153470975,216306722,300588685,412308912,558793636,748930191,993424553,1305088945,1699159092,2193645789,2809728011,3572186999,4509876855,5656239990,7049878281,8735174350,10762958714,13191235509,16085976177,19521975652,23583766764,28366603848,33977530811,40536527884,48177724393
"[2,2,2,1,1,1]",0,0,0,0,0,0,1,47,468,2558,9932,31020,83287,199672,437976,894047,1719565,3145594,5512883,9309825,15219844,24179582,37448697,56693333,84085240,122417666,175240151,247014233,343291794,470918968,638267270,855493426,1134832069,1490923609,1941177989,2506178597,3210129836,4081349626,5152810641,6462733394,8055233673,9981029474,12298209389,15073064148,18380988666,22307457660,26949074773,32414702278,38826676538,46322110170,55054286641
"[2,2,1,1,1,1,1]",0,0,0,0,0,0,0,17,216,1310,5323,16922,45806,110467,243371,498155,959852,1758400,3085343,5214860,8530837,13560055,21010925,31819707,47207011,68744058,98427347,138764871,192878088,264618148,358693815,480815912,637864329,838074580,1091239732,1408934703,1804771337,2294679206,2897205667,3633845074,4529408529,5612426240,6915573276,8476132200,10336507490,12544780350,15155291136,18229267287,21835516028,26051165951,30962440480
"[2,1,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,45,339,1463,4786,13157,31998,70866,145612,281375,516525,907669,1535990,2515145,4000943,6203035,9398769,13949642,20320775,29103344,41040343,57056470,78292173,106142000,142297986,188798431,248082483,323050955,417133465,534362849,679457673,857912345,1076095526,1341358422,1662152735,2048158353,2510422128,3061508200,3715660463,4488977827,5399602145,6467920434,7716782743,9171734392
"[1,1,1,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,30,170,570,1572,3871,8669,17907,34678,63813,112436,190586,312358,497342,771816,1170230,1737621,2532302,3628275,5118119,7117132,9768127,13245696,17760826,23567821,30972094,40336589,52089200,66733477,84859908,107155742,134416101,167558996,207641765,255875229,313638801,382501735,464245945,560884765,674683948,808190477,964262307,1146093795
"[10]",0,0,0,0,0,0,0,0,0,10,73,315,1070,3080,7808,18018,38667,78037,149348,273320,481506,820114,1355246,2180382,3425327,5266118,7937832,11752030,17116722,24557468,34744119,48526033,66970712,91403867,123459298,165142603,218899488,287685502,375051254,485249373,623347172,795339694,1008286602,1270481617,1591627773,1983011702,2457712991,3030859566,3719888945,4544806069,5528490041
"[9,1]",0,0,0,0,0,0,0,0,17,161,851,3311,10566,29293,72946,166650,354647,711339,1356883,2478265,4357726,7410919,12235972,19674930,30891545,47469375,71531378,105883052,154186115,221169185,312875747,436951741,602984660,822903868,1111439957,1486645654,1970497530,2589591958,3375928737,4367785087,5610709112,7158651029,9075218683,11435059383,14325411047,17847846942,22120189570,27278594937,33479868914,40904046436,49757193934
"[8,2]",0,0,0,0,0,0,0,8,120,822,3810,13942,43209,117800,290016,657669,1393523,2787387,5305780,9675746,16997017,28886794,47668290,76615625,120259342,184758754,278362857,411980529,599861605,860396623,1217073609,1699623882,2345350423,3200647031,4322772726,5781927799,7663608108,10071245963,13129240361,16986439675,21820025841,27839807613,35293078122,44470121213,55710273195,69408543787,86023024743,106083196098,130198973177,159070494127,193498973849
"[8,1,1]",0,0,0,0,0,0,0,11,129,840,3896,14296,44260,120596,297201,674679,1430089,2861059,5448065,9938870,17462451,29681158,48986690,78746487,123615124,189925909,286168748,423563695,616756412,884659444,1251442928,1747686773,2411738555,3291312209,4445323491,5945976864,7881174480,10357295998,13502330344,17469376227,22440619408,28631852030,36297490235,45736108177,57296647833,71385389740,88473602288,109105888402,133909457833,163604432863,199015050008
"[7,3]",0,0,0,0,0,0,1,35,336,1992,8777,31276,95188,256713,628529,1420657,3002617,5995209,11400051,20775921,36476342,61965836,102227944,164279801,257821299,396048874,596650449,883003661,1285625620,1843920423,2608242141,3642302757,5026002091,6858748044,9263279500,12390027844,16422137046,21581236647,28133964355,36399282988,46756768816,59655995379,75626984434,95291775198,119377363751,148730175747,184332000155,227317438883,278993227022,340859629158,414633772332
"[7,2,1]",0,0,0,0,0,0,3,73,703,4186,18433,65807,200958,543372,1332439,3015164,6379306,12747888,24254337,44220999,77667877,131982809,217788797,350049204,549456680,844157299,1271867609,1882448073,2741002800,3931583007,5561578422,7766887967,10717969513,14626876353,19755396383,26424419216,35024664843,46028917138,60005916094,77636071494,99729171100,127244268555,161311946094,203259158087,254636874378,317250753457,393195087757,484890277024,595124097124,727097045382,884472058814
"[7,1,1,1]",0,0,0,0,0,0,3,45,381,2194,9579,34169,104522,283144,695228,1574846,3335140,6669905,12697447,23160308,40693076,69172365,114171028,183541171,288144885,442754999,667164075,987541980,1438066469,2062857712,2918279537,4075667613,5624510439,7676125087,10367924156,13868357274,18382551194,24158701371,31495355521,40749703087,52346883820,66790377883,84673679871,106693405233,133663818410,166532858115,206399940731,254535727934,312403813676,381684416873,464300458285
"[6,4]",0,0,0,0,0,0,3,52,457,2580,10948,38276,115672,310794,758489,1710628,3611688,7207100,13696926,24950978,43796753,74392567,122712910,197176543,309431434,475314624,716038119,1059651559,1542792472,2212747691,3129915139,4370742919,6031142897,8230407285,11115773903,14867750448,19706165549,25896977979,33760071539,43678186997,56106906353,71585722027,90750532274,114347763062,143249949460,178472807565,221194291819,272775895830,334785908942,409024654457,497552406995
"[6,3,1]",0,0,0,0,0,0,9,177,1527,8642,37204,131367,398772,1074662,2630362,5945675,12570752,25109467,47761374,87065923,152903355,259815671,428715047,689056678,1081571740,1661666367,2503591221,3705500794,5395553665,7739213521,10947897472,15289141764,21098508089,28793455657,38889370187,52017979163,68948467530,90611596584,118127061097,152834381267,196327757333,250495279165,317562765679,400142605990,501288169719,624554280756,774064061311,954582600972,1171598188025,1431411712127,1741234564721
"[6,2,2]",0,0,0,0,0,0,6,117,1049,6043,26150,92641,282225,762599,1869346,4229737,8950782,17891272,34047028,62086003,109065948,185371301,305929295,491772990,771999037,1186177922,1787324322,2645537130,3852367039,5525993195,7817387014,10917627119,15066420679,20561938151,27772241423,37148536027,49240279235,64712278478,84364201084,109152806223,140216877828,178905020024,226806927106,285788534499,358030934234,446073242792,552860287360,681795627286,836799644424,1022372916099,1243666065765
"[6,2,1,1]",0,0,0,0,0,0,13,198,1633,9258,40185,142863,435809,1178830,2893619,6554863,13880596,27758607,52849103,96410145,169408436,287988884,475374107,764275060,1199925115,1843861480,2778560711,4113052195,5989691811,8592284600,12155698727,16977145188,23429400140,31976238195,43190249752,57773275017,76579855745,100644068219,131209931201,169765685190,218082505080,278258122075,352765549964,444507282174,556875727950,693820490982,859922661846,1060476566899,1301579999078,1590233679942,1934450066386
"[6,1,1,1,1]",0,0,0,0,0,1,9,78,583,3262,14143,50409,154423,419227,1031593,2341130,4965288,9941841,18944895,34583822,60804359,103414205,170764719,274624217,431273033,662855739,999045767,1479079727,2154201001,3090563938,4372688022,6107546146,8429332885,11504982354,15540571734,20788727990,27557083222,36217867816,47218841311,61095718539,78486124732,100145190004,126963068532,159984585848,200431021202,249724158753,309513002668,381703412995,468490623108,572394795143,696300150332
"[5,5]",0,0,0,0,0,0,2,32,230,1217,5165,18079,54321,145347,354533,799674,1687256,3364741,6393923,11647967,20443252,34719341,57269249,92022963,144408268,221813716,334149642,494508079,719969463,1032597473,1460600652,2039658101,2814496556,3840780223,5187261064,6938181081,9196071460,12085037857,15754428146,20382861982,26182854123,33406155875,42349628475,53361613640,66849155926,83286240294,103222742232,127294038195,156231792680,190876135091,232188764201
"[5,4,1]",0,0,0,0,0,0,13,183,1454,8039,34283,120535,365214,983343,2405564,5435921,11491476,22952340,43656797,79582546,139762296,237489930,391881562,629864659,988677936,1518974775,2288633638,3387389945,4932415599,7074984923,10008378760,13977191665,19288221114,26323132833,35553111319,47555720085,63034212909,82839554240,107995424549,139726504403,179490349373,229013187712,290329992607,365829200638,458302469165,570999887455,707691078341,872732649369,1071142476058,1308681323928,1591942340272
"[5,3,2]",0,0,0,0,0,0,16,257,2132,12041,52075,184708,562668,1520486,3729417,8443301,17872230,35730515,68011111,124047599,217943024,370458276,611453516,982989331,1543228934,2371297430,3573240236,5289244477,7702350142,11048887754,15630836684,21830335929,30126687393,41116187657,55535032483,74285603946,98466627124,129407650582,168708137091,218281561826,280405192261,357776141983,453574011631,571530610682,716007669331,892083290713,1105647460763,1363507213748,1673502653979,2044634763512,2487205284446
"[5,3,1,1]",0,0,0,0,0,1,20,304,2603,14882,64590,229800,702383,1902742,4673885,10592513,22441553,44897129,85500927,156004491,274174421,466160076,769561884,1237357384,1942828541,2985654599,4499404526,6660679654,9700109008,13915437112,19687069628,27496444723,37947489067,51791485498,69955891993,93577622393,124041092667,163021457890,212533806233,274988988907,353256413788,450734335305,571428696860,720041400494,902068322348,1123907722931,1392980473444,1717863196970,2108434588424,2576035685804,3133645968428
"[5,2,2,1]",0,0,0,0,0,0,14,261,2290,13295,58442,209546,643188,1747247,4301189,9762957,20705032,41452692,78986582,144182706,253479882,431080098,711795056,1144667579,1797525766,2762645400,4163697898,6164184257,8977601395,12879604754,18222420784,25451795242,35126835599,47943120617,64759414092,86628367783,114831712827,150920439716,196760391401,254583770559,327047229431,417297187949,529042897506,666637878451,835170601491,1040565228890,1289693019936,1590495167547,1952118181367,2385062820275,2901347257174
"[5,2,1,1,1]",0,0,0,0,0,0,13,216,1882,11000,48679,175545,541277,1475288,3640266,8276974,17576469,35224106,67168830,122681973,215780952,367104712,606340876,975318926,1531898006,2354793415,3549502675,5255509210,7654960423,10983035997,15540241461,21706884174,29960011117,40893109111,55238892327,73895527692,97956673122,128745729697,167854737006,217188368309,279013511814,356014954597,451357714661,568756600112,712553608174,887803807233,1100370380644,1357029548466,1665586117194,2035000444725,2475527647277
